City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,east london,-33.0153,27.9116,19.95,90,100,7.83,ZA,1670195654
84,manaure,11.7751,-72.4445,26.02,78,65,6.33,CO,1670195922
85,bambous virieux,-20.3428,57.7575,25.14,78,40,3.09,MU,1670195916
86,pisco,-13.7,-76.2167,20.03,77,0,7.72,PE,1670195922
87,tiksi,71.6872,128.8694,-21.2,97,100,4.59,RU,1670195923
88,nkoteng,4.5167,12.0333,22.24,89,71,1.04,CM,1670195923
89,arman,59.7,150.1667,-24.64,83,55,4.1,RU,1670195923
90,visby,57.6409,18.296,2.81,87,100,6.17,SE,1670195924
91,beloha,-25.1667,45.05,23.89,80,88,2.0,MG,1670195924
92,te anau,-45.4167,167.7167,15.03,74,94,2.67,NZ,1670195925
93,ongandjera,-17.8833,15.0667,26.64,23,74,7.23,,1670195925
94,lata,40.1629,-8.3327,9.49,81,90,2.67,PT,1670195925
95,nemuro,43.3236,145.575,-2.73,60,18,9.42,JP,1670195926
96,ribeira grande,38.5167,-28.7,15.43,73,99,4.02,PT,1670195926
97,katsuura,35.1333,140.3,12.76,83,100,8.87,JP,1670195927
98,puerto boyaca,5.9758,-74.5885,23.88,93,63,1.21,CO,1670195927
99,pevek,69.7008,170.3133,-16.37,95,100,4.94,RU,1670195906
100,lokhvytsya,50.3678,33.2602,-5.99,44,14,5.02,UA,1670195928
101,pundri,29.75,76.55,13.36,38,0,1.11,IN,1670195928
102,prieska,-29.6641,22.7474,20.19,32,100,6.24,ZA,1670195929
103,leningradskiy,69.3833,178.4167,-10.63,93,100,4.3,RU,1670195928
104,diamantino,-14.4086,-56.4461,23.21,85,98,1.87,BR,1670195929
105,faanui,-16.4833,-151.75,26.86,76,13,6.59,PF,1670195854
106,moree,-29.4667,149.85,24.9,43,0,2.57,AU,1670195930
107,cherskiy,68.75,161.3,-34.68,100,27,1.82,RU,1670195930
108,port elizabeth,-33.918,25.5701,16.29,97,100,3.6,ZA,1670195931
109,victoria,22.2855,114.1577,18.47,80,100,6.71,HK,1670195828
110,sitka,57.0531,-135.33,2.94,70,0,2.06,US,1670195931
111,bahar,34.9072,48.4414,1.09,69,75,2.06,IR,1670195932
112,lamu,-2.2717,40.902,25.12,81,7,3.25,KE,1670195932
113,portland,45.5234,-122.6762,2.51,92,100,4.12,US,1670195727
114,pietermaritzburg,-29.6168,30.3928,18.71,99,100,0.64,ZA,1670195933
115,yulara,-25.2406,130.9889,32.12,14,2,7.65,AU,1670195933
116,prince george,53.9166,-122.753,-12.08,86,100,1.54,CA,1670195711
117,myaundzha,63.0494,147.1858,-46.65,99,70,0.78,RU,1670195934
118,villa union,23.2,-106.2333,28.98,58,75,4.12,MX,1670195934
119,balkhash,46.844,74.9804,-16.26,86,4,2.29,KZ,1670195935
120,luderitz,-26.6481,15.1594,15.91,69,3,8.27,,1670195935
121,asau,46.4333,26.4,-2.49,98,100,1.59,RO,1670195935
122,khatanga,71.9667,102.5,-18.14,97,100,3.19,RU,1670195936
123,mount gambier,-37.8333,140.7667,13.45,76,100,5.59,AU,1670195936
124,dikson,73.5069,80.5464,-1.84,86,100,9.41,RU,1670195937
125,kokopo,-4.352,152.2633,27.61,75,92,2.6,PG,1670195937
126,avera,33.194,-82.5271,15.73,57,100,3.09,US,1670195937
127,nikolskoye,59.7035,30.7861,-4.06,95,100,3.59,RU,1670195938
128,puerto ayora,-0.7393,-90.3518,21.42,89,76,2.24,EC,1670195806
129,butaritari,3.0707,172.7902,26.92,80,35,5.43,KI,1670195836
